Day,Price
365,130.48
366,131.38
367,135.74
368,134.87
369,132.7
370,132.43
371,132.57
372,136.21
373,133.54
374,135.78
375,134.4
376,135.0
377,133.69
378,135.37
379,133.63
380,134.64
381,132.54
382,131.22
383,134.26
384,132.36
385,133.97
386,130.78
387,132.1
388,131.34
389,131.3
390,129.71
391,129.57
392,129.62
393,130.51
394,131.3
395,130.94
396,129.38
397,130.33
398,131.01
399,132.02
400,131.09
401,130.27
402,128.88
403,130.73
404,129.24
405,130.6
406,131.28
407,130.67
408,130.05
409,132.14
410,130.47
411,130.77
412,129.41
413,131.3
414,133.07
415,132.33
416,130.91
417,131.28
418,131.25
419,131.31
420,129.02
421,129.74
422,132.01
423,130.92
424,129.84
425,132.22
426,131.48
427,132.31
428,128.55
429,129.47
430,130.86
431,132.2
432,129.99
433,130.36
434,129.02
435,129.22
436,130.46
437,131.29
438,129.66
439,131.39
440,133.44
441,129.81
442,130.19
443,129.56
444,130.31
445,132.6
446,130.22
447,130.87
448,129.87
449,130.54
450,130.48
451,130.83
452,132.04
453,130.82
454,131.31
455,132.11
456,130.25
457,130.38
458,130.61
459,129.75
460,130.0
461,132.2
462,130.84
463,134.29
464,135.02
465,136.47
466,135.59
467,133.75
468,135.73
469,135.3
470,136.56
471,135.3
472,135.41
473,136.09
474,139.07
475,139.65
476,137.4
477,138.37
478,136.89
479,137.91
480,139.29
481,138.23
482,135.15
483,138.47
484,136.43
485,135.29
486,134.31
487,135.42
488,135.18
489,133.29
490,134.39
491,133.84
492,132.73
493,131.75
494,131.05
495,130.34
496,129.71
497,129.09
498,127.65
499,127.34
500,127.67
501,126.43
502,126.68
503,125.88
504,128.73
505,128.16
506,129.14
507,127.78
508,127.78
509,126.85
510,127.39
511,128.43
512,128.75
513,127.47
514,127.58
515,128.36
516,129.47
517,128.09
518,128.73
519,128.61
520,129.82
521,128.42
522,128.52
523,129.48
524,130.96
525,131.24
526,129.71
527,130.25
528,130.01
529,130.73
530,127.95
531,132.01
532,132.51
533,130.88
534,132.68
535,132.08
536,131.68
537,132.66
538,134.48
539,129.82
540,134.43
541,132.73
542,135.78
543,135.22
544,132.53
545,132.84
546,133.26
547,135.89
548,135.41
549,132.81
550,134.96
551,134.54
552,133.3
553,134.28
554,132.69
555,135.6
556,136.26
557,134.82
558,133.87
559,134.78
560,135.13
561,135.09
562,134.41
563,133.96
564,133.62
565,133.9
566,135.54
567,133.96
568,134.89
569,134.31
570,134.65
571,132.64
572,135.07
573,134.29
574,136.96
575,132.26
576,132.12
577,134.47
578,131.83
579,130.37
580,134.45
581,133.84
582,134.75
583,132.26
584,134.34
585,133.45
586,133.05
587,136.11
588,135.2
589,134.97
590,134.26
591,135.55
592,136.29
593,135.66
594,136.24
595,133.99
596,134.67
597,136.43
598,135.95
599,136.17
600,135.5
601,136.91
602,135.02
603,136.9
604,136.5
605,137.86
606,138.22
607,139.81
608,136.8
609,136.57
610,138.62
611,139.77
612,137.18
613,137.0
614,137.6
615,137.71
616,136.7
617,135.92
618,138.72
619,137.49
620,136.07
621,136.17
622,136.51
623,136.75
624,136.25
625,137.72
626,136.36
627,137.04
628,138.1
629,136.68
630,139.98
631,138.69
632,138.81
633,138.34
634,138.99
635,137.41
636,140.62
637,138.6
638,141.75
639,140.79
640,139.36
641,139.4
642,140.4
643,142.37
644,139.28
645,141.25
646,140.48
647,141.2
648,144.61
649,141.63
650,143.49
651,141.99
652,142.26
653,142.16
654,144.41
655,142.21
656,143.92
657,143.8
658,142.71
659,145.6
660,144.38
661,143.61
662,147.13
663,145.97
664,145.77
665,144.62
666,145.4
667,147.41
668,148.1
669,145.95
670,147.57
671,144.33
672,143.97
673,146.59
674,147.2
675,144.94
676,145.8
677,145.55
678,144.29
679,146.54
680,145.06
681,144.06
682,146.75
683,147.14
684,145.3
685,145.47
686,143.57
687,147.03
688,145.05
689,146.41
690,144.76
691,141.98
692,145.54
693,143.71
694,144.21
695,144.62
696,145.51
697,145.18
698,142.14
699,142.95
700,141.0
701,140.55
702,140.67
703,142.3
704,142.8
705,143.2
706,141.16
707,141.99
708,140.56
709,140.29
710,138.94
711,141.64
712,140.4
713,140.41
714,142.85
715,141.29
716,140.54
717,139.44
718,138.38
719,141.56
720,139.6
721,137.46
722,139.99
723,136.98
724,137.94
725,138.4
726,136.13
727,135.04
728,136.98
729,137.1
