Day,Price
365,3.58
366,3.56
367,3.57
368,3.6
369,3.59
370,3.6
371,3.57
372,3.59
373,3.61
374,3.58
375,3.61
376,3.6
377,3.6
378,3.61
379,3.61
380,3.59
381,3.6
382,3.57
383,3.6
384,3.61
385,3.6
386,3.59
387,3.59
388,3.6
389,3.59
390,3.61
391,3.56
392,3.58
393,3.57
394,3.62
395,3.62
396,3.58
397,3.59
398,3.6
399,3.57
400,3.61
401,3.61
402,3.61
403,3.55
404,3.61
405,3.59
406,3.57
407,3.6
408,3.6
409,3.57
410,3.63
411,3.6
412,3.61
413,3.64
414,3.6
415,3.64
416,3.65
417,3.6
418,3.62
419,3.62
420,3.59
421,3.59
422,3.61
423,3.62
424,3.63
425,3.61
426,3.6
427,3.59
428,3.59
429,3.6
430,3.52
431,3.58
432,3.58
433,3.57
434,3.56
435,3.56
436,3.55
437,3.58
438,3.57
439,3.57
440,3.56
441,3.6
442,3.58
443,3.54
444,3.55
445,3.56
446,3.59
447,3.56
448,3.59
449,3.56
450,3.58
451,3.56
452,3.58
453,3.6
454,3.55
455,3.59
456,3.54
457,3.54
458,3.55
459,3.55
460,3.55
461,3.55
462,3.57
463,3.55
464,3.56
465,3.6
466,3.59
467,3.6
468,3.59
469,3.6
470,3.6
471,3.56
472,3.61
473,3.59
474,3.61
475,3.63
476,3.65
477,3.59
478,3.61
479,3.64
480,3.62
481,3.62
482,3.61
483,3.62
484,3.58
485,3.6
486,3.62
487,3.6
488,3.6
489,3.59
490,3.59
491,3.56
492,3.58
493,3.57
494,3.56
495,3.51
496,3.52
497,3.5
498,3.53
499,3.51
500,3.46
501,3.5
502,3.49
503,3.48
504,3.52
505,3.49
506,3.48
507,3.54
508,3.51
509,3.55
510,3.54
511,3.56
512,3.55
513,3.55
514,3.55
515,3.55
516,3.56
517,3.56
518,3.56
519,3.58
520,3.58
521,3.58
522,3.55
523,3.59
524,3.57
525,3.61
526,3.61
527,3.61
528,3.6
529,3.6
530,3.64
531,3.57
532,3.62
533,3.67
534,3.62
535,3.66
536,3.64
537,3.67
538,3.67
539,3.65
540,3.66
541,3.66
542,3.66
543,3.68
544,3.66
545,3.65
546,3.67
547,3.67
548,3.68
549,3.7
550,3.64
551,3.67
552,3.69
553,3.66
554,3.65
555,3.66
556,3.68
557,3.67
558,3.67
559,3.66
560,3.67
561,3.63
562,3.67
563,3.69
564,3.67
565,3.66
566,3.7
567,3.66
568,3.66
569,3.69
570,3.69
571,3.71
572,3.71
573,3.74
574,3.72
575,3.75
576,3.69
577,3.74
578,3.72
579,3.69
580,3.72
581,3.73
582,3.77
583,3.76
584,3.76
585,3.79
586,3.76
587,3.72
588,3.72
589,3.72
590,3.72
591,3.68
592,3.67
593,3.7
594,3.68
595,3.67
596,3.66
597,3.68
598,3.68
599,3.65
600,3.65
601,3.63
602,3.63
603,3.6
604,3.61
605,3.59
606,3.62
607,3.61
608,3.64
609,3.62
610,3.62
611,3.67
612,3.66
613,3.6
614,3.6
615,3.67
616,3.69
617,3.66
618,3.62
619,3.69
620,3.67
621,3.66
622,3.67
623,3.69
624,3.64
625,3.7
626,3.7
627,3.66
628,3.7
629,3.73
630,3.69
631,3.69
632,3.71
633,3.71
634,3.71
635,3.7
636,3.7
637,3.72
638,3.68
639,3.71
640,3.71
641,3.7
642,3.67
643,3.7
644,3.72
645,3.71
646,3.71
647,3.68
648,3.76
649,3.74
650,3.78
651,3.72
652,3.74
653,3.73
654,3.74
655,3.79
656,3.75
657,3.79
658,3.8
659,3.77
660,3.8
661,3.81
662,3.8
663,3.86
664,3.83
665,3.83
666,3.82
667,3.85
668,3.88
669,3.83
670,3.82
671,3.85
672,3.84
673,3.79
674,3.83
675,3.82
676,3.8
677,3.83
678,3.81
679,3.79
680,3.76
681,3.77
682,3.76
683,3.76
684,3.77
685,3.73
686,3.74
687,3.73
688,3.75
689,3.74
690,3.79
691,3.75
692,3.76
693,3.76
694,3.78
695,3.83
696,3.77
697,3.8
698,3.83
699,3.8
700,3.79
701,3.8
702,3.8
703,3.8
704,3.85
705,3.84
706,3.86
707,3.83
708,3.87
709,3.85
710,3.85
711,3.83
712,3.87
713,3.87
714,3.84
715,3.89
716,3.81
717,3.81
718,3.82
719,3.79
720,3.84
721,3.8
722,3.78
723,3.78
724,3.77
725,3.77
726,3.74
727,3.77
728,3.76
729,3.77
