Day,Price
365,857.46
366,858.23
367,830.14
368,836.4
369,868.33
370,852.93
371,861.1
372,840.55
373,858.35
374,838.74
375,861.13
376,853.35
377,833.0
378,824.99
379,864.84
380,825.95
381,858.1
382,864.2
383,870.64
384,847.58
385,849.38
386,857.63
387,854.02
388,854.28
389,841.07
390,857.63
391,854.38
392,847.58
393,850.87
394,876.82
395,841.08
396,842.21
397,847.69
398,836.27
399,873.52
400,841.2
401,852.87
402,850.48
403,860.76
404,856.3
405,841.51
406,852.37
407,885.51
408,869.39
409,897.36
410,937.85
411,933.45
412,949.74
413,935.53
414,963.52
415,942.4
416,999.78
417,994.91
418,989.51
419,974.08
420,985.02
421,1000.17
422,1026.81
423,1043.85
424,1090.61
425,1117.0
426,1132.59
427,1173.09
428,1171.16
429,1206.23
430,1249.2
431,1271.91
432,1255.01
433,1284.86
434,1262.45
435,1250.47
436,1224.09
437,1240.72
438,1229.81
439,1258.17
440,1254.45
441,1272.22
442,1260.08
443,1236.33
444,1250.01
445,1259.71
446,1251.44
447,1252.37
448,1234.57
449,1251.0
450,1257.72
451,1234.04
452,1251.86
453,1283.91
454,1331.58
455,1371.71
456,1402.79
457,1410.1
458,1445.44
459,1501.15
460,1501.04
461,1513.46
462,1491.76
463,1512.45
464,1502.2
465,1554.02
466,1583.27
467,1618.43
468,1681.65
469,1735.35
470,1718.18
471,1730.31
472,1710.71
473,1739.4
474,1739.89
475,1706.13
476,1733.86
477,1729.72
478,1708.91
479,1720.96
480,1728.7
481,1730.05
482,1714.15
483,1705.33
484,1729.54
485,1695.11
486,1723.19
487,1733.95
488,1724.69
489,1734.24
490,1724.46
491,1706.07
492,1725.7
493,1717.69
494,1676.15
495,1626.37
496,1566.7
497,1564.98
498,1501.16
499,1469.72
500,1437.56
501,1362.1
502,1404.61
503,1404.71
504,1378.52
505,1362.57
506,1396.92
507,1399.39
508,1381.9
509,1377.92
510,1405.88
511,1404.51
512,1370.86
513,1401.03
514,1399.52
515,1391.6
516,1356.02
517,1321.82
518,1280.76
519,1248.6
520,1226.59
521,1196.25
522,1192.62
523,1187.64
524,1170.62
525,1150.51
526,1129.13
527,1157.8
528,1131.31
529,1144.49
530,1158.43
531,1139.44
532,1146.57
533,1139.09
534,1146.55
535,1152.3
536,1128.67
537,1149.83
538,1136.46
539,1168.73
540,1149.53
541,1137.24
542,1160.15
543,1164.0
544,1125.34
545,1126.24
546,1077.39
547,1042.17
548,991.51
549,979.6
550,978.53
551,969.78
552,973.17
553,977.07
554,988.92
555,988.68
556,1001.4
557,979.61
558,998.41
559,964.09
560,980.29
561,1010.6
562,986.18
563,984.22
564,970.75
565,955.67
566,958.89
567,985.98
568,971.32
569,961.47
570,1006.95
571,978.42
572,985.57
573,994.46
574,966.51
575,1002.01
576,961.95
577,965.03
578,972.37
579,979.3
580,974.38
581,1016.91
582,971.73
583,987.99
584,982.17
585,979.75
586,970.69
587,978.83
588,994.06
589,984.59
590,992.79
591,988.54
592,997.71
593,991.23
594,985.45
595,952.86
596,994.16
597,975.14
598,1017.24
599,982.29
600,1001.56
601,1001.31
602,974.43
603,983.19
604,970.68
605,968.83
606,956.86
607,998.83
608,964.72
609,1004.9
610,973.54
611,968.97
612,998.11
613,974.12
614,973.22
615,953.25
616,991.69
617,981.8
618,936.72
619,988.3
620,1003.36
621,996.2
622,972.26
623,983.78
624,987.52
625,948.57
626,998.12
627,991.88
628,980.41
629,1007.07
630,969.1
631,1002.66
632,994.92
633,969.27
634,983.22
635,1004.4
636,980.15
637,989.09
638,988.71
639,977.55
640,953.99
641,990.66
642,992.53
643,999.53
644,1001.14
645,997.41
646,997.91
647,957.32
648,949.3
649,895.19
650,883.39
651,877.34
652,876.26
653,920.96
654,915.55
655,943.46
656,913.88
657,930.81
658,955.0
659,936.36
660,923.55
661,930.1
662,924.49
663,919.64
664,950.28
665,971.87
666,1010.83
667,1025.72
668,1059.64
669,1071.78
670,1085.43
671,1165.33
672,1160.8
673,1198.57
674,1187.23
675,1167.41
676,1166.78
677,1212.4
678,1178.91
679,1170.94
680,1173.65
681,1163.13
682,1177.86
683,1173.24
684,1162.68
685,1166.83
686,1176.29
687,1174.01
688,1178.79
689,1154.02
690,1190.02
691,1168.35
692,1172.65
693,1170.21
694,1184.77
695,1179.44
696,1176.42
697,1184.42
698,1169.68
699,1161.15
700,1158.73
701,1178.58
702,1171.67
703,1177.49
704,1183.68
705,1172.75
706,1179.13
707,1160.25
708,1192.55
709,1167.08
710,1149.41
711,1168.52
712,1184.16
713,1175.17
714,1157.31
715,1158.13
716,1149.1
717,1152.16
718,1176.43
719,1183.19
720,1193.02
721,1165.1
722,1180.67
723,1227.45
724,1263.03
725,1291.17
726,1358.72
727,1392.8
728,1397.55
729,1452.09
