Day,Price
365,8.29
366,8.17
367,7.65
368,8.44
369,7.76
370,7.97
371,8.32
372,8.23
373,7.77
374,8.42
375,8.4
376,8.35
377,7.93
378,7.79
379,8.14
380,8.15
381,7.65
382,8.37
383,8.03
384,8.26
385,8.09
386,8.4
387,8.19
388,7.55
389,7.25
390,8.21
391,8.05
392,7.69
393,8.29
394,7.97
395,7.53
396,7.21
397,8.26
398,8.04
399,7.52
400,8.26
401,6.97
402,7.43
403,8.3
404,7.66
405,7.57
406,8.29
407,8.5
408,8.1
409,7.94
410,7.85
411,8.27
412,8.01
413,7.89
414,8.55
415,8.31
416,8.35
417,8.0
418,8.1
419,9.02
420,7.75
421,8.55
422,9.57
423,8.51
424,9.45
425,8.56
426,8.92
427,8.19
428,8.3
429,8.16
430,9.24
431,8.87
432,8.93
433,9.11
434,8.89
435,9.31
436,8.93
437,9.59
438,9.07
439,9.2
440,9.54
441,9.4
442,10.14
443,9.79
444,9.82
445,9.46
446,8.94
447,9.56
448,9.64
449,8.51
450,9.76
451,9.96
452,9.54
453,9.42
454,9.45
455,8.42
456,8.93
457,8.59
458,8.62
459,9.08
460,9.27
461,8.77
462,8.89
463,8.35
464,8.72
465,8.32
466,8.73
467,8.21
468,8.79
469,8.99
470,8.81
471,8.04
472,7.64
473,8.67
474,8.25
475,8.05
476,8.21
477,8.22
478,7.45
479,7.17
480,8.11
481,7.97
482,8.58
483,7.06
484,8.32
485,8.19
486,9.16
487,7.59
488,8.48
489,8.55
490,8.14
491,8.17
492,8.7
493,8.34
494,8.77
495,8.11
496,9.27
497,8.41
498,9.46
499,9.39
500,9.16
501,9.49
502,9.59
503,8.83
504,8.83
505,9.98
506,9.35
507,8.89
508,9.01
509,9.06
510,9.67
511,9.19
512,10.11
513,9.65
514,9.31
515,10.51
516,9.43
517,9.69
518,9.26
519,9.41
520,8.84
521,9.88
522,9.5
523,9.29
524,9.34
525,8.97
526,9.16
527,9.02
528,9.53
529,8.4
530,8.67
531,9.03
532,8.89
533,8.34
534,9.17
535,8.85
536,8.15
537,8.9
538,8.56
539,8.4
540,9.09
541,9.25
542,9.05
543,9.68
544,9.52
545,9.17
546,9.04
547,9.56
548,9.81
549,9.29
550,9.6
551,9.43
552,10.03
553,9.68
554,9.35
555,9.3
556,8.95
557,9.73
558,9.07
559,9.12
560,8.77
561,8.58
562,8.17
563,7.48
564,9.14
565,8.93
566,8.81
567,8.72
568,9.24
569,9.03
570,8.61
571,8.75
572,8.91
573,9.13
574,9.06
575,9.83
576,9.29
577,9.96
578,9.19
579,9.39
580,9.49
581,9.09
582,9.34
583,9.07
584,9.45
585,9.13
586,9.7
587,9.72
588,9.42
589,9.23
590,9.27
591,9.84
592,9.38
593,9.47
594,9.22
595,9.39
596,8.77
597,9.15
598,8.75
599,8.94
600,8.67
601,8.47
602,8.63
603,8.53
604,8.49
605,7.48
606,8.37
607,8.31
608,7.86
609,9.05
610,8.15
611,8.14
612,8.57
613,7.87
614,8.14
615,8.16
616,8.1
617,8.4
618,8.39
619,8.06
620,7.77
621,8.56
622,7.76
623,7.93
624,8.98
625,8.62
626,8.16
627,8.39
628,8.56
629,8.38
630,7.99
631,8.12
632,8.65
633,8.43
634,8.14
635,8.21
636,8.18
637,9.02
638,8.81
639,9.44
640,9.59
641,8.89
642,9.06
643,8.92
644,9.15
645,8.98
646,8.86
647,9.44
648,9.1
649,9.4
650,8.91
651,8.79
652,9.74
653,9.4
654,9.63
655,9.55
656,9.45
657,9.76
658,9.78
659,8.88
660,9.05
661,9.28
662,9.49
663,9.24
664,9.29
665,8.97
666,8.92
667,9.25
668,8.99
669,9.68
670,9.05
671,9.23
672,9.29
673,8.24
674,9.11
675,8.47
676,8.57
677,8.97
678,9.18
679,8.98
680,8.31
681,7.93
682,7.71
683,8.34
684,8.39
685,7.83
686,8.53
687,7.7
688,7.62
689,8.41
690,7.31
691,7.62
692,8.33
693,7.76
694,8.34
695,7.71
696,7.96
697,8.16
698,7.87
699,7.66
700,8.49
701,7.93
702,8.91
703,7.81
704,8.13
705,9.19
706,8.01
707,7.94
708,6.95
709,7.94
710,7.92
711,7.49
712,7.38
713,7.69
714,8.42
715,7.87
716,7.84
717,8.08
718,8.04
719,7.95
720,7.83
721,8.02
722,7.62
723,7.98
724,7.82
725,8.19
726,7.87
727,8.27
728,8.39
729,8.05
