Day,Price
365,1.51
366,1.51
367,1.48
368,1.51
369,1.51
370,1.5
371,1.48
372,1.52
373,1.54
374,1.51
375,1.51
376,1.55
377,1.51
378,1.5
379,1.48
380,1.53
381,1.51
382,1.49
383,1.5
384,1.49
385,1.52
386,1.5
387,1.49
388,1.51
389,1.51
390,1.49
391,1.49
392,1.49
393,1.49
394,1.52
395,1.5
396,1.52
397,1.5
398,1.51
399,1.5
400,1.54
401,1.48
402,1.48
403,1.5
404,1.52
405,1.47
406,1.54
407,1.54
408,1.5
409,1.5
410,1.5
411,1.54
412,1.52
413,1.51
414,1.52
415,1.54
416,1.47
417,1.5
418,1.53
419,1.5
420,1.5
421,1.49
422,1.51
423,1.51
424,1.51
425,1.49
426,1.49
427,1.54
428,1.5
429,1.51
430,1.46
431,1.52
432,1.48
433,1.51
434,1.53
435,1.49
436,1.5
437,1.48
438,1.5
439,1.44
440,1.5
441,1.53
442,1.46
443,1.51
444,1.45
445,1.5
446,1.48
447,1.5
448,1.46
449,1.5
450,1.49
451,1.47
452,1.47
453,1.48
454,1.5
455,1.42
456,1.47
457,1.48
458,1.5
459,1.48
460,1.51
461,1.5
462,1.49
463,1.48
464,1.53
465,1.46
466,1.5
467,1.48
468,1.51
469,1.48
470,1.47
471,1.48
472,1.5
473,1.47
474,1.5
475,1.47
476,1.47
477,1.49
478,1.51
479,1.46
480,1.49
481,1.5
482,1.51
483,1.49
484,1.48
485,1.51
486,1.46
487,1.5
488,1.49
489,1.5
490,1.51
491,1.49
492,1.48
493,1.47
494,1.47
495,1.48
496,1.52
497,1.5
498,1.51
499,1.5
500,1.5
501,1.49
502,1.49
503,1.5
504,1.49
505,1.48
506,1.53
507,1.5
508,1.49
509,1.52
510,1.51
511,1.49
512,1.51
513,1.5
514,1.54
515,1.45
516,1.46
517,1.49
518,1.5
519,1.48
520,1.46
521,1.49
522,1.49
523,1.49
524,1.48
525,1.5
526,1.47
527,1.51
528,1.5
529,1.48
530,1.52
531,1.52
532,1.52
533,1.51
534,1.49
535,1.51
536,1.5
537,1.49
538,1.48
539,1.52
540,1.49
541,1.5
542,1.5
543,1.51
544,1.51
545,1.53
546,1.54
547,1.5
548,1.53
549,1.53
550,1.52
551,1.53
552,1.53
553,1.51
554,1.55
555,1.52
556,1.5
557,1.52
558,1.52
559,1.53
560,1.51
561,1.49
562,1.56
563,1.55
564,1.53
565,1.53
566,1.5
567,1.51
568,1.56
569,1.53
570,1.51
571,1.51
572,1.52
573,1.54
574,1.51
575,1.55
576,1.53
577,1.5
578,1.5
579,1.49
580,1.53
581,1.48
582,1.52
583,1.51
584,1.51
585,1.5
586,1.51
587,1.53
588,1.48
589,1.49
590,1.47
591,1.49
592,1.47
593,1.48
594,1.51
595,1.51
596,1.48
597,1.51
598,1.47
599,1.48
600,1.48
601,1.48
602,1.48
603,1.45
604,1.46
605,1.46
606,1.47
607,1.51
608,1.48
609,1.54
610,1.49
611,1.48
612,1.45
613,1.48
614,1.48
615,1.46
616,1.51
617,1.48
618,1.47
619,1.51
620,1.5
621,1.5
622,1.49
623,1.47
624,1.47
625,1.47
626,1.47
627,1.47
628,1.51
629,1.49
630,1.51
631,1.51
632,1.45
633,1.49
634,1.47
635,1.48
636,1.51
637,1.48
638,1.49
639,1.49
640,1.51
641,1.48
642,1.5
643,1.47
644,1.47
645,1.48
646,1.49
647,1.55
648,1.52
649,1.5
650,1.49
651,1.54
652,1.45
653,1.45
654,1.45
655,1.48
656,1.52
657,1.5
658,1.53
659,1.53
660,1.49
661,1.48
662,1.49
663,1.48
664,1.48
665,1.5
666,1.48
667,1.52
668,1.51
669,1.52
670,1.49
671,1.5
672,1.46
673,1.49
674,1.49
675,1.53
676,1.53
677,1.49
678,1.5
679,1.5
680,1.5
681,1.5
682,1.5
683,1.49
684,1.47
685,1.48
686,1.48
687,1.48
688,1.5
689,1.49
690,1.48
691,1.48
692,1.48
693,1.5
694,1.49
695,1.48
696,1.48
697,1.51
698,1.46
699,1.47
700,1.5
701,1.49
702,1.46
703,1.46
704,1.48
705,1.52
706,1.49
707,1.47
708,1.49
709,1.53
710,1.51
711,1.51
712,1.52
713,1.52
714,1.5
715,1.51
716,1.52
717,1.49
718,1.5
719,1.49
720,1.5
721,1.49
722,1.51
723,1.5
724,1.49
725,1.51
726,1.54
727,1.48
728,1.52
729,1.51
