Day,Price
365,2.18
366,2.19
367,2.2
368,2.2
369,2.21
370,2.2
371,2.22
372,2.19
373,2.21
374,2.2
375,2.2
376,2.2
377,2.2
378,2.2
379,2.2
380,2.2
381,2.2
382,2.2
383,2.2
384,2.2
385,2.2
386,2.2
387,2.2
388,2.2
389,2.19
390,2.19
391,2.2
392,2.21
393,2.21
394,2.2
395,2.22
396,2.18
397,2.21
398,2.2
399,2.2
400,2.2
401,2.19
402,2.21
403,2.21
404,2.19
405,2.2
406,2.2
407,2.16
408,2.19
409,2.2
410,2.2
411,2.19
412,2.2
413,2.21
414,2.28
415,2.29
416,2.28
417,2.29
418,2.3
419,2.29
420,2.29
421,2.37
422,2.38
423,2.38
424,2.37
425,2.37
426,2.37
427,2.37
428,2.45
429,2.47
430,2.47
431,2.46
432,2.46
433,2.46
434,2.44
435,2.47
436,2.47
437,2.47
438,2.46
439,2.46
440,2.46
441,2.46
442,2.36
443,2.37
444,2.38
445,2.38
446,2.37
447,2.38
448,2.37
449,2.31
450,2.29
451,2.28
452,2.24
453,2.28
454,2.29
455,2.29
456,2.22
457,2.22
458,2.2
459,2.2
460,2.2
461,2.2
462,2.2
463,2.2
464,2.21
465,2.21
466,2.21
467,2.2
468,2.2
469,2.2
470,2.3
471,2.29
472,2.29
473,2.28
474,2.29
475,2.29
476,2.3
477,2.37
478,2.37
479,2.38
480,2.38
481,2.38
482,2.38
483,2.37
484,2.43
485,2.46
486,2.46
487,2.46
488,2.46
489,2.46
490,2.46
491,2.48
492,2.47
493,2.47
494,2.49
495,2.46
496,2.46
497,2.46
498,2.38
499,2.38
500,2.37
501,2.37
502,2.38
503,2.37
504,2.37
505,2.28
506,2.28
507,2.29
508,2.29
509,2.29
510,2.29
511,2.29
512,2.2
513,2.2
514,2.19
515,2.2
516,2.21
517,2.21
518,2.21
519,2.21
520,2.19
521,2.2
522,2.18
523,2.19
524,2.21
525,2.2
526,2.29
527,2.29
528,2.29
529,2.28
530,2.29
531,2.29
532,2.28
533,2.38
534,2.35
535,2.37
536,2.38
537,2.38
538,2.37
539,2.38
540,2.46
541,2.45
542,2.47
543,2.46
544,2.46
545,2.47
546,2.47
547,2.48
548,2.46
549,2.47
550,2.46
551,2.47
552,2.44
553,2.47
554,2.37
555,2.37
556,2.38
557,2.38
558,2.37
559,2.38
560,2.37
561,2.3
562,2.29
563,2.29
564,2.28
565,2.29
566,2.3
567,2.29
568,2.2
569,2.2
570,2.2
571,2.19
572,2.2
573,2.21
574,2.2
575,2.2
576,2.19
577,2.2
578,2.2
579,2.2
580,2.16
581,2.21
582,2.29
583,2.29
584,2.31
585,2.29
586,2.29
587,2.29
588,2.29
589,2.37
590,2.37
591,2.4
592,2.37
593,2.37
594,2.37
595,2.37
596,2.46
597,2.47
598,2.46
599,2.47
600,2.46
601,2.46
602,2.46
603,2.49
604,2.46
605,2.46
606,2.46
607,2.47
608,2.46
609,2.46
610,2.38
611,2.37
612,2.38
613,2.38
614,2.38
615,2.38
616,2.35
617,2.29
618,2.29
619,2.29
620,2.29
621,2.29
622,2.3
623,2.29
624,2.2
625,2.2
626,2.19
627,2.2
628,2.19
629,2.19
630,2.18
631,2.2
632,2.21
633,2.2
634,2.2
635,2.21
636,2.2
637,2.19
638,2.29
639,2.28
640,2.29
641,2.29
642,2.28
643,2.29
644,2.29
645,2.38
646,2.37
647,2.38
648,2.39
649,2.38
650,2.38
651,2.37
652,2.47
653,2.46
654,2.46
655,2.46
656,2.47
657,2.46
658,2.47
659,2.46
660,2.46
661,2.46
662,2.46
663,2.49
664,2.46
665,2.45
666,2.38
667,2.37
668,2.36
669,2.38
670,2.38
671,2.38
672,2.38
673,2.29
674,2.29
675,2.29
676,2.29
677,2.29
678,2.28
679,2.29
680,2.2
681,2.2
682,2.21
683,2.2
684,2.2
685,2.2
686,2.2
687,2.21
688,2.2
689,2.2
690,2.2
691,2.19
692,2.2
693,2.2
694,2.21
695,2.19
696,2.21
697,2.21
698,2.2
699,2.2
700,2.2
701,2.2
702,2.2
703,2.21
704,2.2
705,2.2
706,2.2
707,2.2
708,2.22
709,2.2
710,2.2
711,2.2
712,2.2
713,2.2
714,2.2
715,2.21
716,2.2
717,2.2
718,2.21
719,2.2
720,2.2
721,2.2
722,2.18
723,2.2
724,2.2
725,2.2
726,2.2
727,2.21
728,2.21
729,2.2
