Day,Price
365,70.0
366,72.04
367,79.66
368,69.03
369,66.07
370,74.51
371,74.89
372,70.49
373,73.68
374,72.16
375,68.05
376,75.93
377,75.05
378,75.26
379,70.2
380,85.09
381,80.32
382,78.42
383,74.04
384,76.41
385,71.01
386,74.99
387,74.54
388,78.94
389,77.42
390,73.33
391,74.96
392,76.16
393,78.19
394,68.3
395,75.66
396,86.72
397,76.2
398,79.55
399,77.61
400,74.41
401,84.56
402,66.04
403,75.69
404,70.66
405,79.83
406,79.19
407,81.02
408,80.55
409,80.26
410,75.46
411,74.73
412,75.63
413,79.05
414,76.37
415,68.88
416,76.46
417,71.75
418,74.94
419,76.37
420,79.39
421,79.75
422,84.05
423,85.97
424,82.19
425,85.68
426,82.67
427,92.15
428,82.73
429,88.6
430,94.22
431,93.43
432,98.01
433,95.93
434,96.8
435,104.51
436,98.5
437,101.26
438,97.35
439,100.0
440,91.51
441,91.51
442,92.65
443,95.05
444,95.91
445,89.66
446,91.84
447,81.72
448,87.27
449,88.85
450,87.04
451,90.48
452,84.26
453,77.98
454,75.36
455,80.72
456,79.38
457,76.36
458,78.97
459,72.78
460,77.8
461,74.98
462,81.62
463,74.52
464,78.26
465,86.03
466,81.71
467,89.32
468,85.67
469,80.43
470,82.23
471,82.87
472,87.28
473,87.83
474,85.63
475,87.41
476,88.78
477,92.47
478,91.62
479,93.04
480,90.39
481,94.51
482,92.94
483,93.13
484,84.31
485,83.02
486,89.4
487,88.43
488,88.85
489,84.72
490,91.81
491,82.5
492,84.02
493,80.93
494,79.53
495,75.93
496,79.3
497,88.81
498,85.03
499,78.91
500,82.98
501,79.63
502,82.8
503,84.68
504,78.93
505,85.09
506,83.62
507,85.69
508,82.53
509,84.0
510,86.92
511,83.21
512,88.1
513,86.68
514,92.59
515,85.42
516,85.64
517,88.27
518,93.96
519,86.96
520,89.77
521,86.67
522,94.87
523,93.27
524,95.46
525,90.61
526,84.2
527,86.16
528,83.03
529,87.54
530,98.75
531,100.4
532,93.51
533,98.26
534,87.56
535,96.82
536,94.33
537,92.87
538,94.95
539,95.55
540,104.33
541,105.86
542,96.4
543,98.78
544,98.59
545,95.31
546,98.59
547,91.36
548,101.12
549,99.24
550,105.59
551,94.6
552,94.75
553,92.64
554,100.34
555,103.81
556,92.38
557,103.23
558,93.62
559,97.6
560,88.16
561,92.95
562,91.52
563,92.08
564,87.8
565,93.76
566,93.36
567,86.03
568,92.87
569,86.55
570,88.88
571,89.41
572,91.38
573,93.58
574,89.29
575,98.27
576,91.07
577,88.96
578,87.28
579,95.62
580,89.14
581,87.94
582,92.57
583,89.71
584,90.51
585,92.23
586,97.45
587,94.0
588,90.62
589,90.63
590,97.0
591,102.73
592,102.26
593,100.36
594,99.17
595,99.2
596,95.84
597,93.07
598,105.06
599,103.68
600,100.44
601,104.99
602,102.54
603,111.78
604,106.09
605,107.3
606,106.75
607,96.42
608,99.56
609,104.44
610,94.99
611,98.02
612,102.46
613,102.27
614,91.72
615,102.98
616,98.21
617,96.56
618,102.46
619,90.18
620,97.64
621,103.07
622,91.7
623,95.11
624,100.81
625,90.72
626,92.38
627,98.2
628,88.35
629,103.82
630,95.95
631,98.83
632,87.79
633,86.39
634,89.43
635,98.13
636,97.65
637,93.58
638,102.3
639,99.15
640,96.97
641,100.85
642,101.02
643,99.41
644,95.09
645,98.23
646,100.44
647,98.75
648,109.12
649,97.81
650,103.95
651,104.87
652,103.43
653,104.49
654,100.39
655,107.52
656,97.08
657,104.95
658,102.22
659,109.13
660,103.49
661,103.18
662,105.6
663,106.59
664,103.14
665,113.9
666,116.31
667,104.76
668,105.32
669,114.71
670,108.05
671,120.99
672,124.5
673,117.18
674,121.97
675,113.15
676,123.72
677,124.01
678,128.71
679,131.57
680,134.33
681,130.23
682,136.8
683,132.7
684,137.11
685,133.28
686,141.85
687,144.92
688,139.27
689,142.8
690,141.78
691,141.96
692,138.73
693,140.68
694,128.07
695,134.61
696,134.56
697,136.82
698,138.2
699,135.41
700,136.68
701,138.24
702,135.46
703,137.23
704,136.16
705,125.88
706,124.94
707,133.71
708,130.62
709,127.77
710,118.76
711,127.94
712,130.54
713,128.65
714,119.29
715,121.92
716,123.91
717,125.53
718,125.96
719,128.36
720,125.58
721,130.52
722,127.25
723,121.56
724,130.14
725,119.14
726,127.58
727,117.12
728,127.74
729,117.98
