Day,Price
365,100.32
366,101.82
367,98.36
368,99.77
369,100.36
370,99.88
371,99.87
372,100.2
373,99.68
374,100.0
375,99.8
376,99.86
377,99.81
378,100.33
379,99.9
380,100.1
381,100.68
382,99.84
383,99.4
384,99.79
385,98.1
386,100.0
387,99.92
388,99.67
389,100.0
390,100.38
391,100.0
392,101.34
393,100.14
394,100.13
395,98.9
396,100.75
397,99.84
398,100.29
399,99.87
400,99.76
401,100.0
402,99.83
403,100.12
404,100.51
405,99.05
406,100.0
407,100.2
408,100.27
409,100.11
410,99.72
411,99.86
412,100.23
413,100.89
414,102.32
415,100.0
416,99.85
417,100.0
418,101.11
419,100.38
420,100.1
421,102.02
422,100.31
423,101.94
424,99.7
425,99.68
426,99.56
427,100.29
428,100.0
429,100.42
430,99.91
431,99.32
432,99.89
433,99.93
434,99.81
435,100.31
436,99.8
437,99.77
438,100.14
439,100.0
440,100.07
441,99.54
442,100.88
443,100.37
444,99.68
445,100.36
446,100.48
447,101.16
448,100.33
449,98.28
450,98.36
451,99.9
452,100.3
453,98.73
454,99.77
455,99.73
456,100.0
457,101.72
458,100.19
459,100.09
460,98.56
461,100.0
462,101.81
463,100.32
464,98.94
465,100.22
466,98.96
467,101.27
468,100.0
469,100.12
470,100.0
471,99.88
472,101.56
473,99.71
474,99.86
475,99.89
476,99.83
477,99.63
478,99.47
479,99.91
480,99.87
481,100.0
482,100.0
483,100.0
484,100.31
485,99.94
486,100.11
487,99.7
488,102.24
489,98.78
490,100.33
491,100.0
492,98.91
493,100.0
494,100.3
495,99.85
496,97.97
497,100.0
498,100.0
499,100.07
500,100.0
501,100.72
502,100.47
503,99.51
504,99.5
505,99.46
506,100.19
507,97.78
508,100.46
509,100.0
510,100.0
511,100.0
512,100.09
513,100.32
514,99.85
515,99.75
516,100.11
517,99.75
518,101.35
519,99.92
520,100.3
521,100.19
522,99.88
523,99.8
524,100.16
525,100.33
526,100.07
527,100.0
528,99.81
529,101.53
530,99.86
531,100.33
532,99.57
533,100.0
534,101.74
535,100.0
536,100.19
537,101.8
538,99.89
539,99.76
540,100.12
541,100.32
542,100.18
543,99.92
544,100.96
545,99.63
546,99.81
547,99.9
548,98.86
549,101.17
550,99.49
551,100.36
552,100.08
553,100.15
554,100.12
555,97.98
556,100.18
557,98.14
558,99.81
559,99.54
560,100.29
561,101.78
562,98.66
563,99.76
564,100.09
565,99.87
566,100.11
567,100.24
568,101.78
569,100.0
570,99.77
571,100.0
572,100.26
573,98.64
574,99.58
575,100.19
576,99.85
577,101.74
578,99.75
579,99.6
580,100.1
581,99.83
582,99.8
583,99.93
584,100.0
585,100.31
586,98.94
587,101.47
588,100.4
589,98.84
590,100.0
591,99.69
592,100.0
593,100.0
594,99.61
595,99.8
596,101.96
597,99.83
598,99.87
599,101.25
600,99.71
601,99.7
602,97.89
603,100.27
604,99.8
605,98.79
606,101.69
607,100.09
608,100.0
609,100.0
610,99.9
611,100.18
612,99.84
613,100.46
614,98.3
615,100.21
616,100.33
617,99.53
618,99.79
619,99.93
620,100.24
621,100.0
622,100.07
623,100.23
624,98.59
625,99.64
626,99.67
627,99.47
628,100.0
629,100.41
630,99.72
631,99.72
632,98.45
633,99.73
634,98.67
635,100.18
636,99.45
637,99.7
638,100.31
639,100.08
640,100.0
641,99.07
642,99.49
643,99.15
644,99.9
645,99.89
646,99.78
647,100.29
648,100.0
649,100.25
650,99.62
651,100.0
652,100.11
653,99.92
654,100.09
655,99.81
656,97.79
657,100.0
658,100.16
659,101.18
660,100.42
661,100.29
662,100.27
663,99.92
664,100.0
665,99.89
666,99.8
667,100.09
668,100.3
669,98.66
670,100.28
671,99.85
672,100.0
673,100.26
674,100.44
675,99.92
676,100.1
677,100.26
678,99.9
679,102.73
680,100.0
681,99.92
682,98.88
683,99.82
684,100.0
685,98.59
686,100.13
687,101.58
688,99.84
689,100.0
690,100.0
691,99.9
692,99.81
693,99.77
694,100.12
695,99.9
696,99.87
697,99.8
698,99.86
699,99.92
700,100.0
701,101.49
702,100.0
703,100.0
704,100.0
705,100.0
706,100.23
707,99.85
708,99.62
709,100.18
710,100.17
711,99.66
712,100.0
713,100.0
714,99.88
715,100.0
716,100.3
717,100.37
718,100.31
719,99.72
720,99.68
721,100.0
722,100.08
723,100.0
724,100.4
725,99.83
726,99.83
727,98.79
728,98.75
729,99.63
